author,statement,source,date,target
Madison Czopek,“Nationwide data reveals surging levels of newest COVID strain in water supply.”,Breitbart,"January 8, 2024",false
Samantha Putterman,"Nikki Haley “says the retirement age at 65 is way too low, it must be much higher.”",Donald Trump,"January 8, 2024",half-true
Sara Swann,"Police responded to alien creatures at a Miami mall on Jan. 1, 2024.",Instagram posts,"January 8, 2024",pants-fire
Louis Jacobson,"In Florida, “income growth is top of the chart.”",Ron DeSantis,"January 8, 2024",half-true
Sarah Bahari,"Says FBI Director Christopher Wray told Congress “that with the border wide open and a war in Israel, Hamas can just walk right in.”",Mark Green,"January 8, 2024",false
Maria Briceño,Nikki Haley “opposed Trump’s border wall” and “Trump’s travel ban.”,Donald Trump,"January 5, 2024",false
Amy Sherman,"""In actuality, there is no evidence Joe Biden won” the 2020 election, citing a report’s allegations from five battleground states.",Donald Trump,"January 5, 2024",pants-fire
Marta Campabadal,"""¡El Gobierno Federal aprobó la Orden Ejecutiva 14009 que apoya seguro médico de $0 mensuales para hispanos en la inscripción del 2024!""",Facebook posts,"• January 5,",false
Amy Sherman,"“Almost a million people, mostly Democrats, have been kicked off the voter roll here in Florida” because of efforts to place a proposed amendment on abortion access on the state’s 2024 ballot.",TikTok posts,"January 5, 2024",barely-true
Louis Jacobson,"“Right now, over 70% of federal employees are still working from home three years after COVID.""",Nikki Haley,"January 5, 2024",barely-true
Jeff Cercone,"T-Mobile plans to fine its customers up to $3,500 for text messages it doesn't like.",TikTok posts,"January 4, 2024",false
Jeff Cercone,"Jimmy Kimmel was on the Jeffrey Epstein list, documents show.",X posts,"January 4, 2024",pants-fire
Sara Swann,"Video shows Hillary Clinton blamed various events, including her 2016 election loss and Jeffrey Epstein’s death, on climate change.",Instagram posts,"January 4, 2024",pants-fire
Louis Jacobson,Gov. Ron DeSantis “called China ‘Florida’s most important trading partner.’”,SFA Fund,"January 4, 2024",false
Maria Ramirez,"Donald Trump “deported less, believe it or not, than Barack Obama even did.""",Ron DeSantis,"• January 4,",true
Kwasi Gyamfi,Video shows Trump promising to pause student loan payments and cancel payroll tax if reelected in 2024.,Instagram posts,"• January 4,",false
Maria Briceño,El Dr. Sanjay Gupta sufrió “un atentado” por crear un nuevo medicamento para el dolor articular.,Facebook posts,"January 4, 2024",false
Loreben Tuquero,"Elon Musk developed “Cosmo Heater,” a product that would cut heating costs “to basically $0.”",Facebook posts,"January 3, 2024",false
Sara Swann,Dr. Ben Carson endorsed CBD gummies to treat high blood pressure.,Facebook posts,"January 3, 2024",false
Jill Terreri,Under New York’s Clean Slate Act “violent crimes … will now be automatically sealed after a set time - like they never happened.”,Nick LaLota,"• January 1,",barely-true
Laura Schulte,“Wisconsin utilities have charged ratepayers more than $1.9 billion of increases since 2019.”,Americans for Prosperity,"December 29, 2023",false
Vanessa Swales,"Gov. Tony Evers and Democrats ""rejected our (Iowa model redistricting) proposal to enact the very plan they originally endorsed.""",Robin Vos,"December 22, 2023",mostly-true
Kwasi Gyamfi,Elon Musk invented an energy-saving device that could “cut electricity bills by 80%.”,Facebook posts,"• December 21,",pants-fire
Loreben Tuquero,Hunter Biden’s “prison term announced.”,Facebook posts,"December 21, 2023",false
Amy Sherman,“They want to make our Army tanks all electric.”,Donald Trump,"December 21, 2023",false
Marta Campabadal,"""Los pasajeros de un avión cantan para ayudar a calmar a un hombre con Alzheimer que había tenido una recaída"".",TikTok posts,"• December 21,",false
Sara Swann,Video is evidence that Hillary Clinton is a reptile.,Instagram posts,"December 21, 2023",pants-fire
Marta Campabadal,"""La administración acaba de aprobar este vacío legal, 100% legal, que permite a todos los residentes estadounidenses en buena posición obtener un permiso de portación oculta (de armas) válido en 2023"".",Facebook posts,"• December 21,",false
Samantha Putterman,Migrants who enter the U.S. illegally get U.S. passports immediately after leaving a border processing center.,X posts,"December 21, 2023",false
Sara Swann,"Video shows Donald Trump advertising $6,400 spending cards.",Facebook posts,"December 21, 2023",false
Marta Campabadal,"""MSNBC transmitió un video de este actor"" en la guerra entre Israel y Hamas.",TikTok posts,"• December 20,",false
Sofia Ahmed,"During a speech former President Donald Trump said, “Even the lemonade is killing people” under President Joe Biden.",Facebook posts,"December 20, 2023",pants-fire
Sara Swann,“Texas Children’s Hospital pediatric clinics announce they will no longer treat unvaccinated children.”,Instagram posts,"December 19, 2023",false
Jeff Cercone,Gaza’s education ministry “officially announced the end of the 2023/2024 academic year as all students have been killed.”,Instagram posts,"December 19, 2023",false
Grace Abels,"“We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”",Nikki Haley,"December 19, 2023",true
Kwasi Gyamfi,Joe Biden’s net worth was $41 million in 2022.,James Woods,"• December 19,",false
Loreben Tuquero,The Lincoln Project is “using A.I. (Artificial Intelligence)” in its “television commercials.”,Donald Trump,"December 19, 2023",false
Maria Ramirez,"“We have our government giving people who came into this country illegally $5,000 gift cards.”",Mark Lamb,"• December 19,",false
Grace Abels,"Under the Trump administration's trade deal, “China's only fulfilled one-third of the promises of agricultural products that they were supposed to buy from our farmers.”",Chris Christie,"December 19, 2023",half-true
Hope Karnopp,"""Wisconsin Republicans have passed multiple billion dollar middle-class tax cuts this year, but each time we have, Governor Tony Evers has vetoed the relief.""",Julian Bradley,"December 19, 2023",mostly-true
Sara Swann,"“The U.S. is sending everyone (a) free $16,800 right now.”",Facebook posts,"December 18, 2023",false
Grace Abels,"Discussing gender-affirming surgical care for minors, said that Sweden “shut it down.”",Ron DeSantis,"December 18, 2023",half-true
Maria Briceño,"""Neumonia misteriosa ya está golpeando"" a niños en Estados Unidos ""lo mismo que está pasando en China"".",Facebook posts,"December 18, 2023",false
Loreben Tuquero,“Israeli Army Commander admits they handcuffed 2 couples inside a house then used tanks to destroy the building.”,TikTok posts,"December 18, 2023",false
Rebecca Catalanello,China is allowed to do crypto mining in the U.S.,Asa Hutchinson,"December 15, 2023",mostly-true
Marta Campabadal,"Video muestra “Palestinos cargando el cuerpo de un niño cantando alabanzas religiosas"".",TikTok posts,"• December 15,",false
Louis Jacobson,"“Gasoline prices are now $5, $6, $7 and even $8 a gallon.”",Donald Trump,"December 15, 2023",barely-true
Ricardo Torres,"Democrats have also used alternate slates of electors ""repeatedly in all kinds of different states.""",Ron Johnson,"December 15, 2023",false
Sara Swann,"Macaulay Culkin’s “Home Alone” shopping trip that cost $19.83 in 1990 would cost $72.28 today, up from $44.40 in 2022.",Instagram posts,"December 14, 2023",false
Loreben Tuquero,Video of a man collapsing while confronting service members is “Palestinian Theater.”,Instagram posts,"December 14, 2023",false
Amy Sherman,Florida “had a year-over-year reduction” in overdose deaths.,Ron DeSantis,"December 14, 2023",mostly-true
Jeff Cercone,Tyson Foods may put insect protein in your chicken nuggets.,Facebook posts,"December 14, 2023",false
Maria Ramirez,“The great replacement theory is not some grand right-wing conspiracy theory. But a basic statement of the Democratic Party's platform.”,Vivek Ramaswamy,"• December 13,",pants-fire
Marta Campabadal,"Jorge Ramos reportó que ""los bancos están saldando tarjetas de crédito y liquidando balances de más de $15,000” para evitar otra recesión.",Facebook posts,"• December 13,",false
Kwasi Gyamfi,"As of Dec. 12, 2023, Geert Wilders was the “new prime minister of the Netherlands.”",Instagram posts,"• December 13,",false
Jeff Cercone,Then-Vice President Joe Biden’s remarks in 2015 video prove he “intentionally” opened U.S. borders to immigrants.,Instagram posts,"December 13, 2023",false
Kwasi Gyamfi,A river in Russia turned red in a biblical omen or divine “retribution.”,Facebook posts,"• December 13,",false
Amy Sherman,Nikki Haley “raised taxes.”,Fight Right Inc.,"December 13, 2023",barely-true
Louis Jacobson,"“We’ve created close to 800,000 manufacturing jobs since I’ve taken office.”",Joe Biden,"December 13, 2023",mostly-true
Marta Campabadal,"""Acaban de anunciar el 'Paquete de Ayuda para las Fiestas' que otorga a los estadounidenses $6,400 justo a tiempo para las vacaciones!"".",Facebook posts,"• December 13,",false
Tyler Katzenberger,"“With school-based professional social workers, the recommendation is 400-to-1, and in Wisconsin, we’re almost triple that.”",Jill Billings,"December 13, 2023",true
Jeff Cercone,“Amazon got hacked. … Hackers added Hub lockers as your default delivery addresses.”,Instagram posts,"December 12, 2023",false
Sara Swann,Video shows Elon Musk announcing he’s giving away free gold bars.,Facebook posts,"December 12, 2023",false
Marta Campabadal,"""Los estadounidenses que ganan menos de $50,000 al año pueden solicitar un seguro médico gratuito"".",Facebook posts,"• December 12,",barely-true
Sara Swann,Video shows the aftermath of a school prank in which students drank lemonade containing “horse laxatives.”,Facebook posts,"December 11, 2023",false
Loreben Tuquero,Photo shows a woman named Araceli Hernandez who “was kidnapped by George Floyd and brutally beaten during a home invasion.”,Instagram posts,"December 11, 2023",false
Grace Abels,"“Your minor child can go to California without your knowledge or without your consent, and get hormone therapy, puberty blockers and a sex change operation.”",Ron DeSantis,"December 11, 2023",barely-true
Jeff Cercone,"""Massive f— Joe Biden chant breaks out at Army/Navy game.”",Instagram posts,"December 11, 2023",false
Paul Specht,North Carolina Attorney General and gubernatorial candidate Josh Stein “supports taxpayer-funded abortion on demand with no restrictions up until birth.”,Mark Robinson,"December 11, 2023",false
Sofia Ahmed,"Video shows woman embracing and kissing “a doll,” evidence of “Hamas street theater propaganda exposed.”",Facebook posts,"December 11, 2023",false
Maria Briceño,"""Toyota acaba de anunciar que dejará de fabricar coches”.",Facebook posts,"December 8, 2023",false
Sara Swann,"“The new Inflation Reduction Act has just been updated to give Americans making less than $50,000 per year up to $6,400 in subsidies every single month.”",Facebook posts,"December 8, 2023",false
Jeff Cercone,“Mysterious pneumonia” from China is now in Ohio.,TikTok posts,"December 8, 2023",false
D.L. Davis,"Wisconsin Republicans are backing “a nonpartisan redistricting plan based off the Iowa Model. ... Republicans, Democrats, and the Governor pushed this plan last time redistricting happened in 2020.”",Ron Tusler,"December 8, 2023",half-true
Sara Swann,Video shows “heavy snow and ice has frozen jets in Munich bound for Dubai's global warming conference.”,Facebook posts,"December 8, 2023",false
Hope Karnopp,"“I have been a state legislator for 11 years, passing over 170 bills into law and delivering for Wisconsin families.”",Katrina Shankland,"December 8, 2023",mostly-true
Sofia Ahmed,Image shows a Palestinian man in Gaza holding a plastic doll that he says is his dead grandson.,TikTok posts,"December 8, 2023",false
Kwasi Gyamfi,U.S. manual for courts-martial has been recently amended to include civilians.,Facebook posts,"• December 7,",false
Amy Sherman,“Jan. 6 now does look like it was an inside job.”,Vivek Ramaswamy,"December 7, 2023",pants-fire
Amy Sherman,"“With the historic Abraham Accords, I even made peace in the Middle East.”",Donald Trump,"December 5, 2023",false
Maria Ramirez,"""When (Ron DeSantis) was in Congress, he supported amnesty.""",Gavin Newsom,"• December 5,",barely-true
Loreben Tuquero,"Audio shows breaking news that “Biden approves $5,200 for Americans older than 25.”",Facebook posts,"December 5, 2023",false
Sara Swann,The Palestinian flag before 1948 included the Star of David.,Instagram posts,"December 5, 2023",false
Kwasi Gyamfi,"The International Space Station is in a pool, not in space.",Instagram posts,"• December 5,",pants-fire
Maria Briceño,"Imagen muestra ""potente terremoto … en medio de una tormenta solar"" en Filipinas.",Facebook posts,"December 5, 2023",false
Hope Karnopp,"""On most campuses, you cannot destroy a chalked message unless you were the one that wrote it. You can't dump water on it, you can't even walk over it.""",Jodi Emerson,"December 5, 2023",mostly-true
Maria Briceño,"""El Papa acaba de inventar La Cruz LGBT”.",X posts,"December 4, 2023",false
Hope Karnopp,"""In order to be a poll worker on the conservative side, you have to register through the Republican Party of Wisconsin.""",Ron Johnson,"December 4, 2023",mostly-true
Ricardo Torres,"“Washington, D.C., allows noncitizens to vote in (municipal elections)"" so a Russian citizen, after living in Washington for 30 days can ""vote for mayor in Washington, D.C. And they don’t even need to show their ID to do it.”",Bryan Steil,"December 4, 2023",mostly-true
Louis Jacobson,"China “had the largest naval fleet in the world. They had 370 ships. They'll have 400 ships in two years. We won't even have 350 ships in two decades.""",Nikki Haley,"December 4, 2023",half-true
Jeff Cercone,"With Apple’s NameDrop, anyone placing an iPhone near your child’s “will automatically receive their contact information.”",Instagram posts,"December 1, 2023",false
Sara Swann,Magnetic “lymphatic earrings” aid weight loss.,Facebook posts,"December 1, 2023",pants-fire
Loreben Tuquero,"“In Germany, you must be fully vaxxed before your death by assisted suicide.”",Instagram posts,"December 1, 2023",false
Sofia Ahmed,John D. Rockefeller wrote a secret covenant about controlling the world’s population.,Facebook posts,"December 1, 2023",false
Marta Campabadal,"""MSNBC airs Gaza 'crisis actor.'""",Newsmax,"• November 30,",false
Kwasi Gyamfi,Suggests homeless people mysteriously went missing in San Francisco.,Facebook posts,"• November 30,",false
Grace Abels,“8 MINUTES AGO! The largest underwater volcano has SUDDENLY CRACKED OPEN the Earth!”,Facebook posts,"November 30, 2023",false
Jeff Cercone,Video showing “Israeli occupation forces arrest a 2-year-old child” is from the Israel-Hamas war.,Instagram posts,"November 30, 2023",false
Sofia Ahmed,Pizzagate “expert” went to jail for child pornography,Facebook posts,"November 30, 2023",false
Jeff Cercone,Video shows Black Friday shoppers “in Biden’s thriving economy.”,Instagram posts,"November 30, 2023",false
Sara Swann,Iceland has banned COVID-19 vaccines “amid soaring sudden deaths.”,Instagram posts,"November 30, 2023",false
Loreben Tuquero,Video of an Alabama compound shows “Hamas is here and training hidden in plain sight.”,TikTok posts,"November 30, 2023",false
Amy Sherman,"In Florida, “any woman who has an abortion after six weeks — and any doctor who gives her care — will be guilty of a felony.”",Gavin Newsom,"November 29, 2023",half-true
Louis Jacobson,Republicans’ “plan would cut Social Security benefits. … Average benefit cut would be 13%.”,Joe Biden,"November 29, 2023",barely-true
Loreben Tuquero,"""Ataque terrorista islámico confirmado cerca de la frontera con Canadá en el puente del Arco Iris en las cataratas del Niágara"".",Facebook posts,"November 29, 2023",false
Sara Swann,"""The U.S. is sending everyone a free $6,400 right now.”",Facebook posts,"November 29, 2023",false
Maria Ramirez,Clips of Nikki Haley speaking about Hillary Clinton show Haley supports Clinton and is “not who she says she is.”,Fight Right Inc.,"• November 29,",false
Madison Czopek,"A “brand new financial relief program available for Americans"" provides $5,000 in cash.",Facebook posts,"November 29, 2023",false
Loreben Tuquero,Audio shows former President Donald Trump warned “300 million Americans” will die from a catastrophe “in a matter of weeks.”,Facebook posts,"November 29, 2023",false
Jeff Cercone,“Fox News got caught” staging a video of Israel arresting a “crisis actor.”,TikTok posts,"November 28, 2023",false
Maria Briceño,Desaparece “una niña de 4 años” en baño de Disneyland en octubre de 2023.,Facebook posts,"November 28, 2023",false
Louis Jacobson,"“In every single war that America has fought, we have never asked for land afterwards, except for enough to bury the Americans who gave the ultimate sacrifice for that freedom we went in for.”",Kevin McCarthy,"November 28, 2023",pants-fire
Kwasi Gyamfi,"""Trump has selected his pick for running mate (and the) news stuns Republican Party.”",Facebook posts,"• November 28,",false
Jeff Cercone,"""You’re in danger” because the American Red Cross doesn’t label blood donations from donors vaccinated against COVID-19.",Instagram posts,"November 28, 2023",false
Sara Swann,"Video shows a military chaplain praying, “Please get rid of Joe Biden and bring back the real president, Donald J. Trump.”",Instagram posts,"November 28, 2023",false
Maria Briceño,"""La industria alimentaria quiere que comas” lechuga de plástico sintético sin nutrición y lleno de contaminantes.",Facebook posts,"November 28, 2023",false
Sara Swann,Video shows a Doctors Without Borders medic in Jenin taking a weapon from a wounded person and giving it to someone else.,Instagram posts,"November 27, 2023",false
Loreben Tuquero,"“Terrorist attack confirmed” in Niagara Falls, New York.",Social Media,"November 27, 2023",false
Grace Abels,Video shows teacher teaching gender pronouns and being confronted by students,Facebook posts,"November 27, 2023",false
Tyler Katzenberger,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,National Republican Senatorial Committee,"November 24, 2023",barely-true
Sara Swann,"Videos of Nancy Pelosi from Jan. 6, 2021, show the Capitol attack was staged.",Instagram posts,"November 21, 2023",false
Kwasi Gyamfi,“Israel has changed their barcode from 729 to 871 … as the public was boycotting Israeli products.”,TikTok posts,"• November 21,",false
Loreben Tuquero,Video shows that “Troy Nehls FORCES Pete Buttigieg to admit that Biden is unfit to serve.”,Facebook posts,"November 21, 2023",false
Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true
Maria Ramirez,“New police bodycam footage” of George Floyd’s arrest “changes the narrative”,Megyn Kelly,"• November 21,",false
Madison Czopek,"A ""ghost bus … filled with FBI informants dressed as Trump supporters deployed onto our Capitol on January 6th.”",Clay Higgins,"November 21, 2023",false
Ayden Norcross,"Jim Justice “broke his pledge, raised the gas tax.”",Alex Mooney,"November 21, 2023",false
Louis Jacobson,"The federal government and the Federal Reserve were “raising inflation,” something that “had nothing to do with … getting our economy back in line” but rather to fund a “war against a bunch of civilians.”",TikTok posts,"November 21, 2023",false
Loreben Tuquero,Video shows Israeli soldiers “raising their flag” over al-Shifa hospital in Gaza.,Instagram posts,"November 21, 2023",false
Samantha Putterman,CNN and The Associated Press “admitted” to knowing about Hamas’ Oct. 7 attack in advance but didn’t tell anyone.,TikTok posts,"November 20, 2023",false
Maria Briceño,"“Any American who needs $2,000 a month can get it now” thanks to a new government program.",Facebook posts,"November 20, 2023",false
Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true
Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true
Samantha Putterman,Florida Gov. Ron DeSantis “did something six months ago” akin to Nikki Haley recruiting Chinese companies to South Carolina.,Nikki Haley,"November 20, 2023",false
Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire
Ciara O'Rourke,Video shows “Elon Musk and the Dubai billionaire have unveiled new software called ‘Quantum AI.’”,Facebook posts,"November 17, 2023",false
Madison Czopek,“Footage from Israeli helicopter shows the IDF killing many people at October 7 concert in Israel.”,Stew Peters,"November 17, 2023",false
Jeff Cercone,Billboard in New York City shows “Stand with Israel” ad replacing “Stand with Ukraine” ad.,Instagram posts,"November 17, 2023",false
Ciara O'Rourke,Video shows President Joe Biden falling “on the plane stairs shortly after landing in Poland.”,Viral image,"November 17, 2023",false
Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true
Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true
Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true
Maria Briceño,"""El representante oficial de las fuerzas armadas de Yemen ha declarado oficialmente la guerra a Israel"".",Facebook posts,"November 16, 2023",false
Grace Abels,Fox News reported that Stormy Daniels admitted having a ‘business relationship’ with Speaker Mike Johnson.,X posts,"November 16, 2023",false
Ciara O'Rourke,Former President Donald Trump “just told everyone he is commander in chief.”,Viral image,"November 15, 2023",false
Ciara O'Rourke,Photo shows “Pfizer CEO Albert Bourla wearing a mask in November 2023.”,Viral image,"November 15, 2023",false
Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire
Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true
Jeff Cercone,Rise in U.S. infant mortality rate connected to COVID-19 vaccines.,Instagram posts,"November 15, 2023",false
Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true
Amy Sherman,"New Hampshire has “a worse drug problem per capita than any other state.""",Donald Trump,"November 15, 2023",false
Maria Briceño,"“Just like the Cuban regime, the Biden administration is trying to put their political opponents in jail, shutting down free speech.”",Donald Trump,"November 15, 2023",false
Tyler Katzenberger,“Kids who don’t even know what day it is or their colors can decide to permanently change themselves” through medical gender transition.,Robin Vos,"November 15, 2023",false
Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true
Louis Jacobson,Looking at “American aid to other countries … the vast majority of it is military aid.”,Marianne Williamson,"November 14, 2023",false
Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",true
Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",true
Grace Abels,"Quotes House Speaker Mike Johnson as saying, “Every woman has a duty to birth at least one able-bodied worker.”",Instagram posts,"November 13, 2023",false
Sara Swann,"On Nov. 7, 2023, Pennsylvania voting machines were “flipping votes,” which is evidence of “election fraud.”",Instagram posts,"November 11, 2023",false
Jeff Cercone,“There is a serial killer in Cincinnati.” Seven bodies were found “chopped up.”,Facebook posts,"November 10, 2023",false
Ciara O'Rourke,A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,TikTok posts,"November 10, 2023",pants-fire
Madison Czopek,New York’s fraud case against Trump “has nothing to do with his home in Mar-a-Lago.”,Facebook posts,"November 10, 2023",false
Marta Campabadal,Video muestra gente en Gaza en 2023 maquillándose heridas.,Facebook posts,"• November 10,",false
Ciara O'Rourke,Video shows Ontario Premier Doug Ford promoting Elon Musk’s “latest project.”,Viral image,"November 10, 2023",false
Ciara O'Rourke,“Jews did 9/11.”,Instagram posts,"November 10, 2023",pants-fire
Jeff Cercone,Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram posts,"November 9, 2023",pants-fire
Louis Jacobson,"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",Chris Christie,"November 9, 2023",barely-true
Ciara O'Rourke,Mel Gibson posted about “the end” of Israel and said the country wants “to destroy everything in the way.”,Viral image,"November 9, 2023",false
Ciara O'Rourke,Video shows someone wearing a Donald Trump mask appeared in court instead of the former president.,Viral image,"November 9, 2023",pants-fire
Ciara O'Rourke,Elon Musk is dead.,Viral image,"November 9, 2023",false
Ciara O'Rourke,Video shows TV personalities promoting a diabetes cure.,Viral image,"November 9, 2023",false
Ciara O'Rourke,Videos show singer Kelly Clarkson promoting diet products.,Viral image,"November 9, 2023",false
Ciara O'Rourke,“Taylor Swift pulls ‘Eras’ film screenings in Israel.”,Viral image,"November 9, 2023",false
Jeff Cercone,"""Acapulco destroyed by yet another directed weather attack!”",Instagram posts,"November 9, 2023",pants-fire
Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire
Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “allowed for the use of illegal drop boxes and ballot harvesting.”,"Wisconsin Election Committee, Inc .","November 8, 2023",false
Tyler Katzenberger,Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,"Wisconsin Election Committee, Inc .","November 8, 2023",pants-fire
Ciara O'Rourke,“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”,Viral image,"November 8, 2023",false
Ciara O'Rourke,New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”,Facebook posts,"November 8, 2023",false
Ciara O'Rourke,“NASA admits space and planets are fake.”,Viral image,"November 8, 2023",pants-fire
Ciara O'Rourke,Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.,Viral image,"November 8, 2023",false
Ciara O'Rourke,Video shows California Gov. Gavin Newsom falling down airplane stairs.,Viral image,"November 8, 2023",false
Louis Jacobson,"“Only in Washington can you cut funding, add a pay-for to a new spending measure, and they say it's terrible for the deficit.”",Mike Johnson,"November 7, 2023",false
Louis Jacobson,"""Over the past four decades, we’ve lost over 400,000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota, North and South Dakota combined.”",Joe Biden,"November 7, 2023",mostly-true
Ciara O'Rourke,Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”,Viral image,"November 7, 2023",false
Hope Karnopp,Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,"Rachael Cabral-Guevara,","November 7, 2023",mostly-true
Ciara O'Rourke,Video shows “Israel Zionist blowing up people in hospitals” in 2023.,Viral image,"November 7, 2023",false
Ciara O'Rourke,Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,Viral image,"November 7, 2023",pants-fire
Ciara O'Rourke,Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,Instagram posts,"November 7, 2023",pants-fire
Ciara O'Rourke,"Photo shows “American soldiers praying for their country, for Israel before being deployed to defend Israel” in 2023.",Facebook posts,"November 6, 2023",false
Sara Swann,Ukrainian President Volodymyr Zelenskyy “has surrendered.”,Instagram posts,"November 6, 2023",false
Jeff Cercone,Israel bombed Palestinian children trying to get water.,TikTok posts,"November 6, 2023",false
Grace Abels,Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,Protect Women Ohio,"November 3, 2023",false
Louis Jacobson,“Because of our economic policies we now are reducing inflation.”,Kamala Harris,"November 3, 2023",barely-true
Sara Swann,1936 in the United States was “much hotter than 2023.”,Facebook posts,"November 3, 2023",false
Ciara O'Rourke,Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.,Facebook posts,"November 3, 2023",false
Ciara O'Rourke,Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.,Viral image,"November 3, 2023",false
Ciara O'Rourke,Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”,Viral image,"November 3, 2023",false
Madison Czopek,“New court documents reveal that George Floyd died of a fentanyl overdose.”,Instagram posts,"November 3, 2023",false
Ciara O'Rourke,U.S. Rep. Mike Johnson is the 45th speaker of the House.,Facebook posts,"November 3, 2023",false
Sophia Voight,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered ""essential.""",Melissa Agard,"November 3, 2023",true
Grace Abels,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,Joe Biden,"November 3, 2023",half-true
Loreben Tuquero,Irán izó una bandera negra y “esto significa un llamado” a la guerra o venganza.,Facebook posts,"November 2, 2023",false
Ciara O'Rourke,“Dr. Fauci doesn’t exist!”,Instagram posts,"November 2, 2023",pants-fire
Louis Jacobson,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,Vivek Ramaswamy,"November 2, 2023",barely-true
Anthony Starkey,"Gasoline prices are ""up 63%"" under President Joe Biden.",Chris Rose,"November 2, 2023",half-true
Maria Briceño,"“Fallecimiento del exmandatario de la presidencia de Honduras"" en incendio de cárcel en Nueva York.",TikTok posts,"November 2, 2023",false
Maria Briceño,Video muestra “momento cuando el huracán Otis llegó a Acapulco”.,Facebook posts,"November 2, 2023",false
Grace Abels,“Every President we ever had in the United States of America was a draconian reptilian.”,Facebook posts,"November 1, 2023",pants-fire
Amy Sherman,Gov. Ron DeSantis “actually sponsored the bill to make Puerto Rico a state.”,MAGA Inc,"November 1, 2023",mostly-true
Louis Jacobson,"China is “the largest developer of neuro-strike weapons, weapons engineered to change the brain activity of military commanders and segments of the population.”",Nikki Haley,"November 1, 2023",mostly-true
Ciara O'Rourke,Video shows Elon Musk said South Africans no longer have to work with access to his “platform.”,Viral image,"October 31, 2023",false
Ciara O'Rourke,Video shows singer Kelly Clarkson discussing a “weight loss formula.”,Viral image,"October 31, 2023",false
Ciara O'Rourke,“Palestinian journalist films the moment an Israeli strike kills him and a fellow medic on live TV” in October 2023.,Viral image,"October 31, 2023",false
Sara Swann,Rainbow fentanyl is a threat to children on Halloween.,Rick Scott,"October 31, 2023",false
Ciara O'Rourke,"“In UCLA hundreds of students chanting: ‘Israel Israel you can’t hide, we want Jewish genocide.’”",Instagram posts,"October 31, 2023",false
